document_index,prefix_length,prompt,top1_token_id,top2_token_id,top1_logit,top2_logit,margin
52,128,"Mia and Leo were having a picnic with their mom and dad in the park. They had a big blanket to sit on and a basket full of yummy food. Mia and Leo helped their mom spread some jam on the bread. They each got a piece and took a big bite. ""Mmm, this is so good!"" Mia said. ""I like the jam, it is sweet and sticky,"" Leo said. Their dad gave them some cheese and grapes to go with the bread. They also had some juice and cookies for dessert. Mia and Leo were very happy and full. After they finished eating, they lay down on the blanket and",261,1530,9.875,9.8515625,0.0234375
58,32,"One day, a little boy found an ordinary waffle lying on the ground. He wanted to attach it to something special so he ran home to find something that",30,27,10.8046875,10.78125,0.0234375
60,16,"Once upon a time, there were two friends named Bob and John. Bob",30,12,12.1484375,12.125,0.0234375
87,16,"One summer, Dave was very excited because he was going to visit his friend",7907,7899,9.59375,9.5703125,0.0234375
114,32,"One day, Lily was walking with her mom when they came across a gloomy store. They stepped inside and Lily saw something special. A beautiful pair of sunglasses",176,12,9.71875,9.6953125,0.0234375
127,64,"Once upon a time, there was a little girl named Lily. Lily loved flowers and always wanted to see them bloom. One day, she saw a beautiful flower on the side of the road. She picked it up and smelled it. It smelled bitter. Lily said, ""This flower smells funny. Why is it",99,2968,9.6796875,9.65625,0.0234375
226,128,"Once upon a time, there was a boy named Timmy. Timmy had long hair that covered his eyes and made it hard for him to see. His mom told him it was time for a haircut. Timmy didn't want to get a haircut because he thought it would hurt. But his mom told him it wouldn't hurt and he would feel better after. Timmy went to the barber with his mom. The barber cut his hair and Timmy realized it didn't hurt at all. He looked in the mirror and saw how handsome he looked with his new haircut. Timmy was grateful to his mom for making him get a haircut.",519,62,12.8125,12.7890625,0.0234375
262,16,"Once upon a time, in a small house, there lived a kind,",3463,2328,9.78125,9.7578125,0.0234375
279,32,"Once upon a time, there was a big, fat cat named Fluffy. Fluffy loved to sleep all day and eat lots of food. One day, Fluffy",7913,159,11.7265625,11.703125,0.0234375
334,128,"Once upon a time, there was a big brown bear. He loved to chew on honey and berries. One day, he went for a walk in the forest and found a cave. He went inside to explore and found an exit at the back. As he was walking towards the exit, he saw a little rabbit stuck in a trap. The bear felt sad for the rabbit and decided to help him. He chewed the rope that was holding the trap and set the rabbit free. The rabbit was very grateful and thanked the bear. From that day on, the bear and the rabbit became friends. They would often meet at the cave and",501,109,9.6640625,9.640625,0.0234375
420,16,Once upon a time there was a carefree bear who loved to play,7899,65,9.828125,9.8046875,0.0234375
456,64,"Once upon a time, there was a family with a mommy, a daddy and a little toddler. One morning, the dad said to the little one, â€œToday, you will meet someone special.â€ Excited, the toddler asked, â€œWho will we meet?â€ The dad pointed towards",10,6,11.734375,11.7109375,0.0234375
512,128,"Billy and his dad were walking in the woods when Billy saw a hole. He pointed it out to his dad who told him to be polite and not to touch it. But Billy was curious and wanted to see inside. So, carefully, he stepped closer and peeked in. He thought he saw something moving, but he wasn't sure. He looked back at his dad, who was shaking his head. Billy thought to himself and decided to be brave. He took one step closer and called out ""Hello?"" Suddenly, a little furry animal darted out of the hole and ran away. Billy smiled as his dad yelled """,1960,1070,11.8828125,11.859375,0.0234375
587,64,"Once upon a time, there was a little girl named Sophie. She was three years old and very curious. Every day, she asked her parents questions about the mysterious things around her. One day, Sophie saw something strange in the garden. It was a box with a mysterious pattern on it. Sophie asked her mom",7907,285,12.140625,12.1171875,0.0234375
607,32,"Jill and her mommy found a big, fun park to play in. Jill was so excited to play on the swings and slides. She could see a big",830,421,9.640625,9.6171875,0.0234375
613,16,"Once upon a time, there lived a rat. He was very brave and",845,249,9.890625,9.8671875,0.0234375
669,16,"Sam was walking down the street, looking up at the church. He was",133,99,9.9765625,9.953125,0.0234375
705,32,"Once upon a time, there was a big rhinoceros. He was a little bit crazy. He liked to tell funny stories to his friends. His friends were",133,373,10.3203125,10.296875,0.0234375
