prompt,backend,dtype,norm_backend,composition,batch_size,max_abs_diff,mean_abs_diff,top1_changed,top5_changed,output_identical,first_divergence_token,status,reason
Lily wanted to help her friend,sdpa,float32,native,E_mixed_lengths,4,5.7220458984375e-06,9.333132879874029e-07,False,False,True,,ok,
The old tree could speak,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The old tree could speak,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The old tree could speak,sdpa,float32,native,C_seven_short,8,5.7220458984375e-06,8.356375360563106e-07,False,False,True,,ok,
The old tree could speak,sdpa,float32,native,D_one_long,2,7.62939453125e-06,8.985236945591168e-07,False,False,True,,ok,
The old tree could speak,sdpa,float32,native,E_mixed_lengths,4,6.67572021484375e-06,9.067622386282892e-07,False,False,True,,ok,
One sunny morning,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
One sunny morning,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
One sunny morning,sdpa,float32,native,C_seven_short,8,7.152557373046875e-06,8.651359166833572e-07,False,False,True,,ok,
One sunny morning,sdpa,float32,native,D_one_long,2,6.198883056640625e-06,1.0582492677713162e-06,False,False,True,,ok,
One sunny morning,sdpa,float32,native,E_mixed_lengths,4,8.106231689453125e-06,1.0397425285191275e-06,False,False,True,,ok,
The treasure was hidden under,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,sdpa,float32,native,C_seven_short,8,5.7220458984375e-06,1.0346075214329176e-06,False,False,True,,ok,
The treasure was hidden under,sdpa,float32,native,D_one_long,2,6.67572021484375e-06,1.0219122259513824e-06,False,False,True,,ok,
The treasure was hidden under,sdpa,float32,native,E_mixed_lengths,4,7.152557373046875e-06,9.950489356924663e-07,False,False,True,,ok,
Once upon a time,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Once upon a time,sdpa,float16,native,B_one_short,2,0.0078125,0.00045208955998532474,False,False,True,,ok,
Once upon a time,sdpa,float16,native,C_seven_short,8,0.00390625,0.0003486545756459236,False,False,True,,ok,
Once upon a time,sdpa,float16,native,D_one_long,2,0.00390625,0.0003999320324510336,False,False,True,,ok,
Once upon a time,sdpa,float16,native,E_mixed_lengths,4,0.00390625,0.0003513064584694803,False,False,True,,ok,
The little girl opened the door and,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The little girl opened the door and,sdpa,float16,native,B_one_short,2,0.0078125,0.00047570126480422914,False,False,True,,ok,
The little girl opened the door and,sdpa,float16,native,C_seven_short,8,0.0078125,0.0005003542173653841,False,False,True,,ok,
The little girl opened the door and,sdpa,float16,native,D_one_long,2,0.00390625,0.00046691036550328135,False,False,True,,ok,
The little girl opened the door and,sdpa,float16,native,E_mixed_lengths,4,0.0078125,0.0005389350699260831,False,False,True,,ok,
A friendly dragon lived,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,sdpa,float16,native,B_one_short,2,0.0078125,0.0006129012326709926,False,False,True,,ok,
A friendly dragon lived,sdpa,float16,native,C_seven_short,8,0.0078125,0.0006122972117736936,False,False,True,,ok,
A friendly dragon lived,sdpa,float16,native,D_one_long,2,0.0078125,0.0005836558411829174,False,False,True,,ok,
A friendly dragon lived,sdpa,float16,native,E_mixed_lengths,4,0.0078125,0.0005719724576920271,False,False,True,,ok,
Tom found a red ball,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Tom found a red ball,sdpa,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Tom found a red ball,sdpa,float16,native,C_seven_short,8,0.0078125,0.0005577223491854966,False,False,True,,ok,
Tom found a red ball,sdpa,float16,native,D_one_long,2,0.0078125,0.0004867625830229372,False,False,True,,ok,
Tom found a red ball,sdpa,float16,native,E_mixed_lengths,4,0.0078125,0.0007308239000849426,False,False,True,,ok,
The dog was afraid because,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The dog was afraid because,sdpa,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The dog was afraid because,sdpa,float16,native,C_seven_short,8,0.00390625,0.0005114321829751134,False,False,True,,ok,
The dog was afraid because,sdpa,float16,native,D_one_long,2,0.00390625,0.0005379531648941338,False,False,True,,ok,
The dog was afraid because,sdpa,float16,native,E_mixed_lengths,4,0.00390625,0.0007219124818220735,False,False,True,,ok,
In a small village,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
In a small village,sdpa,float16,native,B_one_short,2,0.0078125,0.0005784141249023378,False,False,True,,ok,
In a small village,sdpa,float16,native,C_seven_short,8,0.0078125,0.000975866278167814,False,False,True,,ok,
In a small village,sdpa,float16,native,D_one_long,2,0.0078125,0.0007123834802769125,False,False,True,,ok,
In a small village,sdpa,float16,native,E_mixed_lengths,4,0.0078125,0.0008983149309642613,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float16,native,B_one_short,2,0.00390625,0.0007148367003537714,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float16,native,C_seven_short,8,0.00390625,0.0006871444056741893,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float16,native,D_one_long,2,0.00390625,0.0006414643721655011,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float16,native,E_mixed_lengths,4,0.00439453125,0.0006820416310802102,False,False,True,,ok,
The old tree could speak,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The old tree could speak,sdpa,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The old tree could speak,sdpa,float16,native,C_seven_short,8,0.0078125,0.0006966941291466355,False,False,True,,ok,
The old tree could speak,sdpa,float16,native,D_one_long,2,0.0078125,0.0005632266984321177,False,False,True,,ok,
The old tree could speak,sdpa,float16,native,E_mixed_lengths,4,0.00390625,0.0004991137539036572,False,False,True,,ok,
One sunny morning,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
One sunny morning,sdpa,float16,native,B_one_short,2,0.0078125,0.0005431899335235357,False,False,True,,ok,
One sunny morning,sdpa,float16,native,C_seven_short,8,0.0078125,0.0007290709763765335,False,False,True,,ok,
One sunny morning,sdpa,float16,native,D_one_long,2,0.0048828125,0.0006224229582585394,False,False,True,,ok,
One sunny morning,sdpa,float16,native,E_mixed_lengths,4,0.0078125,0.0004825211362913251,False,False,True,,ok,
The treasure was hidden under,sdpa,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,sdpa,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,sdpa,float16,native,C_seven_short,8,0.004150390625,0.0007213253993541002,False,False,True,,ok,
The treasure was hidden under,sdpa,float16,native,D_one_long,2,0.00390625,0.0005905301659367979,False,False,True,,ok,
The treasure was hidden under,sdpa,float16,native,E_mixed_lengths,4,0.00390625,0.0005890599568374455,False,False,True,,ok,
Once upon a time,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float32,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float32,fixed_tree,C_seven_short,8,6.198883056640625e-06,8.374149729206692e-07,False,False,True,,ok,
Once upon a time,eager,float32,fixed_tree,D_one_long,2,5.9604644775390625e-06,8.435687277597026e-07,False,False,True,,ok,
Once upon a time,eager,float32,fixed_tree,E_mixed_lengths,4,6.67572021484375e-06,8.198525165425963e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
The little girl opened the door and,eager,float32,fixed_tree,B_one_short,2,1.9073486328125e-06,3.446489529324026e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,fixed_tree,C_seven_short,8,1.1444091796875e-05,8.635284984848113e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,fixed_tree,D_one_long,2,7.62939453125e-06,8.604868639849883e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,fixed_tree,E_mixed_lengths,4,7.62939453125e-06,9.096876283365418e-07,False,False,True,,ok,
A friendly dragon lived,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,eager,float32,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,eager,float32,fixed_tree,C_seven_short,8,6.67572021484375e-06,7.416066978294111e-07,False,False,True,,ok,
A friendly dragon lived,eager,float32,fixed_tree,D_one_long,2,5.7220458984375e-06,7.780151349834341e-07,False,False,True,,ok,
A friendly dragon lived,eager,float32,fixed_tree,E_mixed_lengths,4,5.7220458984375e-06,8.262768460554071e-07,False,False,True,,ok,
Tom found a red ball,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
Tom found a red ball,eager,float32,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
Tom found a red ball,eager,float32,fixed_tree,C_seven_short,8,7.152557373046875e-06,9.596697054803371e-07,False,False,True,,ok,
Tom found a red ball,eager,float32,fixed_tree,D_one_long,2,7.62939453125e-06,9.732789294503164e-07,False,False,True,,ok,
Tom found a red ball,eager,float32,fixed_tree,E_mixed_lengths,4,7.62939453125e-06,1.1378350563973072e-06,False,False,True,,ok,
The dog was afraid because,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
The dog was afraid because,eager,float32,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
The dog was afraid because,eager,float32,fixed_tree,C_seven_short,8,6.198883056640625e-06,8.306446375172527e-07,False,False,True,,ok,
The dog was afraid because,eager,float32,fixed_tree,D_one_long,2,6.67572021484375e-06,9.006183745441376e-07,False,False,True,,ok,
The dog was afraid because,eager,float32,fixed_tree,E_mixed_lengths,4,6.67572021484375e-06,8.221857683565759e-07,False,False,True,,ok,
In a small village,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
In a small village,eager,float32,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
In a small village,eager,float32,fixed_tree,C_seven_short,8,6.67572021484375e-06,8.15447435797978e-07,False,False,True,,ok,
In a small village,eager,float32,fixed_tree,D_one_long,2,5.7220458984375e-06,8.016077117645182e-07,False,False,True,,ok,
In a small village,eager,float32,fixed_tree,E_mixed_lengths,4,6.67572021484375e-06,8.6849740910111e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,fixed_tree,B_one_short,2,2.86102294921875e-06,4.436271296981431e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,fixed_tree,C_seven_short,8,6.67572021484375e-06,9.238243592335493e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,fixed_tree,D_one_long,2,5.7220458984375e-06,8.936430049288902e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,fixed_tree,E_mixed_lengths,4,5.7220458984375e-06,1.0090420801134314e-06,False,False,True,,ok,
The old tree could speak,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
The old tree could speak,eager,float32,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
The old tree could speak,eager,float32,fixed_tree,C_seven_short,8,8.106231689453125e-06,8.889819014257228e-07,False,False,True,,ok,
The old tree could speak,eager,float32,fixed_tree,D_one_long,2,6.67572021484375e-06,8.995533562483615e-07,False,False,True,,ok,
The old tree could speak,eager,float32,fixed_tree,E_mixed_lengths,4,8.58306884765625e-06,1.0415863016532967e-06,False,False,True,,ok,
One sunny morning,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
One sunny morning,eager,float32,fixed_tree,B_one_short,2,1.9073486328125e-06,2.8404383556335233e-07,False,False,True,,ok,
One sunny morning,eager,float32,fixed_tree,C_seven_short,8,6.198883056640625e-06,8.524253871655674e-07,False,False,True,,ok,
One sunny morning,eager,float32,fixed_tree,D_one_long,2,6.67572021484375e-06,8.106801487883786e-07,False,False,True,,ok,
One sunny morning,eager,float32,fixed_tree,E_mixed_lengths,4,6.67572021484375e-06,9.431216199118353e-07,False,False,True,,ok,
The treasure was hidden under,eager,float32,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,eager,float32,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,eager,float32,fixed_tree,C_seven_short,8,6.198883056640625e-06,8.607967743046174e-07,False,False,True,,ok,
The treasure was hidden under,eager,float32,fixed_tree,D_one_long,2,6.198883056640625e-06,9.088485626307374e-07,False,False,True,,ok,
The treasure was hidden under,eager,float32,fixed_tree,E_mixed_lengths,4,6.198883056640625e-06,1.0250588502458413e-06,False,False,True,,ok,
Once upon a time,eager,float16,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float16,fixed_tree,B_one_short,2,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float16,fixed_tree,C_seven_short,8,0.0078125,0.0003416586550883949,False,False,True,,ok,
Once upon a time,eager,float16,fixed_tree,D_one_long,2,0.0078125,0.00042134057730436325,False,False,True,,ok,
Once upon a time,eager,float16,fixed_tree,E_mixed_lengths,4,0.0078125,0.0004631370247807354,False,False,True,,ok,
The little girl opened the door and,eager,float16,fixed_tree,A_target_only,1,0.0,0.0,False,False,True,,ok,
