candidate_rank,prompt,prefix_length,baseline_margin,attention_backend,norm_backend,dtype,composition,batch_size,max_abs_diff,mean_abs_diff,top1_changed,top5_changed,output_identical,first_divergence_token,status,reason
6,"Lily hated clowns. She hated their big red noses, their silly clothes, and their loud laughs. She hated how they made funny faces and threw pies at each other. She hated how they scared her with their balloons and tricks. One day, Lily had to go to a birthday party. She did not want to",64,0.0,eager,native,float32,C_seven_short,8,6.67572021484375e-06,7.796097065693175e-07,False,False,True,,ok,
6,"Lily hated clowns. She hated their big red noses, their silly clothes, and their loud laughs. She hated how they made funny faces and threw pies at each other. She hated how they scared her with their balloons and tricks. One day, Lily had to go to a birthday party. She did not want to",64,0.0,eager,native,float32,D_one_long,2,6.67572021484375e-06,7.796097065693175e-07,False,False,True,,ok,
6,"Lily hated clowns. She hated their big red noses, their silly clothes, and their loud laughs. She hated how they made funny faces and threw pies at each other. She hated how they scared her with their balloons and tricks. One day, Lily had to go to a birthday party. She did not want to",64,0.0,eager,native,float32,E_mixed_lengths,4,8.106231689453125e-06,8.174923209480767e-07,False,False,True,,ok,
7,"Once upon a time, there was a pretty little girl named Lucy. She had a best friend named Tom. Tom was always very kind to Lucy. One day, Lucy decided to go visit Tom. She packed her bag with her favorite things and set off. But on her way, Lucy started to worry. What",64,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
7,"Once upon a time, there was a pretty little girl named Lucy. She had a best friend named Tom. Tom was always very kind to Lucy. One day, Lucy decided to go visit Tom. She packed her bag with her favorite things and set off. But on her way, Lucy started to worry. What",64,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,6.10454264915461e-07,False,False,True,,ok,
7,"Once upon a time, there was a pretty little girl named Lucy. She had a best friend named Tom. Tom was always very kind to Lucy. One day, Lucy decided to go visit Tom. She packed her bag with her favorite things and set off. But on her way, Lucy started to worry. What",64,0.0,eager,native,float32,C_seven_short,8,7.62939453125e-06,8.298756597469037e-07,False,False,True,,ok,
7,"Once upon a time, there was a pretty little girl named Lucy. She had a best friend named Tom. Tom was always very kind to Lucy. One day, Lucy decided to go visit Tom. She packed her bag with her favorite things and set off. But on her way, Lucy started to worry. What",64,0.0,eager,native,float32,D_one_long,2,7.62939453125e-06,8.298756597469037e-07,False,False,True,,ok,
7,"Once upon a time, there was a pretty little girl named Lucy. She had a best friend named Tom. Tom was always very kind to Lucy. One day, Lucy decided to go visit Tom. She packed her bag with her favorite things and set off. But on her way, Lucy started to worry. What",64,0.0,eager,native,float32,E_mixed_lengths,4,6.67572021484375e-06,8.80522975421627e-07,False,False,True,,ok,
8,"Once upon a time, there was a little girl named Amy. She had a toy cat named Fluffy. Amy liked to play with Fluffy in the kitchen.",32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
8,"Once upon a time, there was a little girl named Amy. She had a toy cat named Fluffy. Amy liked to play with Fluffy in the kitchen.",32,0.0,eager,native,float32,B_one_short,2,4.0531158447265625e-06,5.515594807548041e-07,False,False,True,,ok,
8,"Once upon a time, there was a little girl named Amy. She had a toy cat named Fluffy. Amy liked to play with Fluffy in the kitchen.",32,0.0,eager,native,float32,C_seven_short,8,3.337860107421875e-06,4.977881644663285e-07,False,False,True,,ok,
8,"Once upon a time, there was a little girl named Amy. She had a toy cat named Fluffy. Amy liked to play with Fluffy in the kitchen.",32,0.0,eager,native,float32,D_one_long,2,1.049041748046875e-05,8.01454632437526e-07,False,False,True,,ok,
8,"Once upon a time, there was a little girl named Amy. She had a toy cat named Fluffy. Amy liked to play with Fluffy in the kitchen.",32,0.0,eager,native,float32,E_mixed_lengths,4,1.049041748046875e-05,8.138443376992655e-07,False,False,True,,ok,
9,"Sara and Ben are friends. They like to play with blocks. They have many blocks of different colors and shapes. They can make houses, towers, cars and animals with their blocks. One day, Sara has a new block. It is a cute block. It has a face and a tail. It is a",64,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
9,"Sara and Ben are friends. They like to play with blocks. They have many blocks of different colors and shapes. They can make houses, towers, cars and animals with their blocks. One day, Sara has a new block. It is a cute block. It has a face and a tail. It is a",64,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,6.924012154740922e-07,False,False,True,,ok,
9,"Sara and Ben are friends. They like to play with blocks. They have many blocks of different colors and shapes. They can make houses, towers, cars and animals with their blocks. One day, Sara has a new block. It is a cute block. It has a face and a tail. It is a",64,0.0,eager,native,float32,C_seven_short,8,7.152557373046875e-06,9.261685249839502e-07,False,False,True,,ok,
9,"Sara and Ben are friends. They like to play with blocks. They have many blocks of different colors and shapes. They can make houses, towers, cars and animals with their blocks. One day, Sara has a new block. It is a cute block. It has a face and a tail. It is a",64,0.0,eager,native,float32,D_one_long,2,7.152557373046875e-06,9.261685249839502e-07,False,False,True,,ok,
9,"Sara and Ben are friends. They like to play with blocks. They have many blocks of different colors and shapes. They can make houses, towers, cars and animals with their blocks. One day, Sara has a new block. It is a cute block. It has a face and a tail. It is a",64,0.0,eager,native,float32,E_mixed_lengths,4,6.67572021484375e-06,9.741422672959743e-07,False,False,True,,ok,
10,"Once upon a time, there was a dolphin named Dolly. She was very loyal to her friends in the ocean. One day, Dolly was swimming with her",32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
10,"Once upon a time, there was a dolphin named Dolly. She was very loyal to her friends in the ocean. One day, Dolly was swimming with her",32,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,5.892493959436251e-07,False,False,True,,ok,
10,"Once upon a time, there was a dolphin named Dolly. She was very loyal to her friends in the ocean. One day, Dolly was swimming with her",32,0.0,eager,native,float32,C_seven_short,8,3.814697265625e-06,6.509343961624836e-07,False,False,True,,ok,
10,"Once upon a time, there was a dolphin named Dolly. She was very loyal to her friends in the ocean. One day, Dolly was swimming with her",32,0.0,eager,native,float32,D_one_long,2,5.7220458984375e-06,7.975851303854142e-07,False,False,True,,ok,
10,"Once upon a time, there was a dolphin named Dolly. She was very loyal to her friends in the ocean. One day, Dolly was swimming with her",32,0.0,eager,native,float32,E_mixed_lengths,4,5.245208740234375e-06,8.519744483237446e-07,False,False,True,,ok,
11,"Tom and Lily liked to play with their toys. They had many toys, but their favorite was the number machine. The number machine was a big box with buttons and lights. When they pressed the buttons, the number machine made sounds and showed numbers on the screen. One day, Tom and Lily were playing with the number machine in their room. They took turns to press the buttons and say the numbers out loud. ""Two, four, six, eight!"" Tom said, pressing the buttons. ""Ten, twelve, fourteen, sixteen!"" Lily said, pressing the buttons. They",128,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
11,"Tom and Lily liked to play with their toys. They had many toys, but their favorite was the number machine. The number machine was a big box with buttons and lights. When they pressed the buttons, the number machine made sounds and showed numbers on the screen. One day, Tom and Lily were playing with the number machine in their room. They took turns to press the buttons and say the numbers out loud. ""Two, four, six, eight!"" Tom said, pressing the buttons. ""Ten, twelve, fourteen, sixteen!"" Lily said, pressing the buttons. They",128,0.0,eager,native,float32,B_one_short,2,2.86102294921875e-06,4.811020062334137e-07,False,False,True,,ok,
11,"Tom and Lily liked to play with their toys. They had many toys, but their favorite was the number machine. The number machine was a big box with buttons and lights. When they pressed the buttons, the number machine made sounds and showed numbers on the screen. One day, Tom and Lily were playing with the number machine in their room. They took turns to press the buttons and say the numbers out loud. ""Two, four, six, eight!"" Tom said, pressing the buttons. ""Ten, twelve, fourteen, sixteen!"" Lily said, pressing the buttons. They",128,0.0,eager,native,float32,C_seven_short,8,8.106231689453125e-06,7.53832864575088e-07,False,False,True,,ok,
11,"Tom and Lily liked to play with their toys. They had many toys, but their favorite was the number machine. The number machine was a big box with buttons and lights. When they pressed the buttons, the number machine made sounds and showed numbers on the screen. One day, Tom and Lily were playing with the number machine in their room. They took turns to press the buttons and say the numbers out loud. ""Two, four, six, eight!"" Tom said, pressing the buttons. ""Ten, twelve, fourteen, sixteen!"" Lily said, pressing the buttons. They",128,0.0,eager,native,float32,D_one_long,2,8.58306884765625e-06,7.495030445170414e-07,False,False,True,,ok,
11,"Tom and Lily liked to play with their toys. They had many toys, but their favorite was the number machine. The number machine was a big box with buttons and lights. When they pressed the buttons, the number machine made sounds and showed numbers on the screen. One day, Tom and Lily were playing with the number machine in their room. They took turns to press the buttons and say the numbers out loud. ""Two, four, six, eight!"" Tom said, pressing the buttons. ""Ten, twelve, fourteen, sixteen!"" Lily said, pressing the buttons. They",128,0.0,eager,native,float32,E_mixed_lengths,4,8.106231689453125e-06,7.53832864575088e-07,False,False,True,,ok,
12,"Anna and Ben are twins. They like to play with their toys and books. One day, they visit their grandma and grandpa. Grandma and grandpa have a big house with a garden. They also have a cat named Fluffy. ""Hello, Anna and Ben!"" Grandma says. ""We are happy to see you.",64,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
12,"Anna and Ben are twins. They like to play with their toys and books. One day, they visit their grandma and grandpa. Grandma and grandpa have a big house with a garden. They also have a cat named Fluffy. ""Hello, Anna and Ben!"" Grandma says. ""We are happy to see you.",64,0.0,eager,native,float32,B_one_short,2,6.67572021484375e-06,5.037055643697386e-07,False,False,True,,ok,
12,"Anna and Ben are twins. They like to play with their toys and books. One day, they visit their grandma and grandpa. Grandma and grandpa have a big house with a garden. They also have a cat named Fluffy. ""Hello, Anna and Ben!"" Grandma says. ""We are happy to see you.",64,0.0,eager,native,float32,C_seven_short,8,9.5367431640625e-06,5.668933340530202e-07,False,False,True,,ok,
12,"Anna and Ben are twins. They like to play with their toys and books. One day, they visit their grandma and grandpa. Grandma and grandpa have a big house with a garden. They also have a cat named Fluffy. ""Hello, Anna and Ben!"" Grandma says. ""We are happy to see you.",64,0.0,eager,native,float32,D_one_long,2,9.5367431640625e-06,5.668933340530202e-07,False,False,True,,ok,
12,"Anna and Ben are twins. They like to play with their toys and books. One day, they visit their grandma and grandpa. Grandma and grandpa have a big house with a garden. They also have a cat named Fluffy. ""Hello, Anna and Ben!"" Grandma says. ""We are happy to see you.",64,0.0,eager,native,float32,E_mixed_lengths,4,8.58306884765625e-06,6.540435038004944e-07,False,False,True,,ok,
13,"Once upon a time, there was a helpful dog named Spot. Spot liked to go for walks in the park. One day, Spot found a chain on the ground. Spot picked up the chain with his mouth and started to go back home. On the way, he saw a little boy who was sad. The",64,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
13,"Once upon a time, there was a helpful dog named Spot. Spot liked to go for walks in the park. One day, Spot found a chain on the ground. Spot picked up the chain with his mouth and started to go back home. On the way, he saw a little boy who was sad. The",64,0.0,eager,native,float32,B_one_short,2,4.76837158203125e-06,7.650064048903005e-07,False,False,True,,ok,
13,"Once upon a time, there was a helpful dog named Spot. Spot liked to go for walks in the park. One day, Spot found a chain on the ground. Spot picked up the chain with his mouth and started to go back home. On the way, he saw a little boy who was sad. The",64,0.0,eager,native,float32,C_seven_short,8,7.3909759521484375e-06,9.69883785728598e-07,False,False,True,,ok,
13,"Once upon a time, there was a helpful dog named Spot. Spot liked to go for walks in the park. One day, Spot found a chain on the ground. Spot picked up the chain with his mouth and started to go back home. On the way, he saw a little boy who was sad. The",64,0.0,eager,native,float32,D_one_long,2,7.3909759521484375e-06,9.69883785728598e-07,False,False,True,,ok,
13,"Once upon a time, there was a helpful dog named Spot. Spot liked to go for walks in the park. One day, Spot found a chain on the ground. Spot picked up the chain with his mouth and started to go back home. On the way, he saw a little boy who was sad. The",64,0.0,eager,native,float32,E_mixed_lengths,4,7.62939453125e-06,9.712869086797582e-07,False,False,True,,ok,
14,"Once upon a time, there was a little girl named Mary. Mary was",16,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
14,"Once upon a time, there was a little girl named Mary. Mary was",16,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,4.4496579221231514e-07,False,False,True,,ok,
14,"Once upon a time, there was a little girl named Mary. Mary was",16,0.0,eager,native,float32,C_seven_short,8,3.814697265625e-06,4.6027497546674567e-07,False,False,True,,ok,
14,"Once upon a time, there was a little girl named Mary. Mary was",16,0.0,eager,native,float32,D_one_long,2,7.152557373046875e-06,7.280910949702957e-07,False,False,True,,ok,
14,"Once upon a time, there was a little girl named Mary. Mary was",16,0.0,eager,native,float32,E_mixed_lengths,4,6.67572021484375e-06,7.120665941329207e-07,False,False,True,,ok,
15,Once there was a little girl. She was three years old and very pretty in her pink dress. She loved to play with her toys. One day she,32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
15,Once there was a little girl. She was three years old and very pretty in her pink dress. She loved to play with her toys. One day she,32,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,5.31784053237061e-07,False,False,True,,ok,
15,Once there was a little girl. She was three years old and very pretty in her pink dress. She loved to play with her toys. One day she,32,0.0,eager,native,float32,C_seven_short,8,2.86102294921875e-06,4.281296810404456e-07,False,False,True,,ok,
15,Once there was a little girl. She was three years old and very pretty in her pink dress. She loved to play with her toys. One day she,32,0.0,eager,native,float32,D_one_long,2,6.198883056640625e-06,8.18485375475575e-07,False,False,True,,ok,
15,Once there was a little girl. She was three years old and very pretty in her pink dress. She loved to play with her toys. One day she,32,0.0,eager,native,float32,E_mixed_lengths,4,6.67572021484375e-06,8.773149602347985e-07,False,False,True,,ok,
16,"Once upon a time, there was a brave knight. He had a big sword that he used to fight bad guys. The sword was shiny and sharp.",32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
16,"Once upon a time, there was a brave knight. He had a big sword that he used to fight bad guys. The sword was shiny and sharp.",32,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,5.277220793686865e-07,False,False,True,,ok,
16,"Once upon a time, there was a brave knight. He had a big sword that he used to fight bad guys. The sword was shiny and sharp.",32,0.0,eager,native,float32,C_seven_short,8,3.814697265625e-06,5.736569619330112e-07,False,False,True,,ok,
16,"Once upon a time, there was a brave knight. He had a big sword that he used to fight bad guys. The sword was shiny and sharp.",32,0.0,eager,native,float32,D_one_long,2,9.5367431640625e-06,7.398297725558223e-07,False,False,True,,ok,
16,"Once upon a time, there was a brave knight. He had a big sword that he used to fight bad guys. The sword was shiny and sharp.",32,0.0,eager,native,float32,E_mixed_lengths,4,7.62939453125e-06,7.849920962144097e-07,False,False,True,,ok,
17,"Once upon a time there was a rat. The rat was reliable and worked hard every day. One day, the rat had an idea. It believed that",32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
17,"Once upon a time there was a rat. The rat was reliable and worked hard every day. One day, the rat had an idea. It believed that",32,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,5.939476750427275e-07,False,False,True,,ok,
17,"Once upon a time there was a rat. The rat was reliable and worked hard every day. One day, the rat had an idea. It believed that",32,0.0,eager,native,float32,C_seven_short,8,3.337860107421875e-06,5.725220262320363e-07,False,False,True,,ok,
17,"Once upon a time there was a rat. The rat was reliable and worked hard every day. One day, the rat had an idea. It believed that",32,0.0,eager,native,float32,D_one_long,2,8.106231689453125e-06,8.475699928567337e-07,False,False,True,,ok,
17,"Once upon a time there was a rat. The rat was reliable and worked hard every day. One day, the rat had an idea. It believed that",32,0.0,eager,native,float32,E_mixed_lengths,4,7.152557373046875e-06,8.903342063604214e-07,False,False,True,,ok,
18,Sara and her family moved to a,8,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
18,Sara and her family moved to a,8,0.0,eager,native,float32,B_one_short,2,2.0265579223632812e-06,3.2860040732884954e-07,False,False,True,,ok,
18,Sara and her family moved to a,8,0.0,eager,native,float32,C_seven_short,8,5.9604644775390625e-06,7.90283365859068e-07,False,False,True,,ok,
18,Sara and her family moved to a,8,0.0,eager,native,float32,D_one_long,2,5.245208740234375e-06,8.690069535077782e-07,False,False,True,,ok,
18,Sara and her family moved to a,8,0.0,eager,native,float32,E_mixed_lengths,4,5.245208740234375e-06,8.721482913642831e-07,False,False,True,,ok,
19,"Once upon a time there was a little girl called Daisy. She was very excited because it was her birthday. Her mummy and daddy had bought her an aeroplane. It was a big, colourful aeroplane made of metal. It was very expensive, but Daisy was very happy. She put on her seatbelt and flew",64,0.0078125,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
19,"Once upon a time there was a little girl called Daisy. She was very excited because it was her birthday. Her mummy and daddy had bought her an aeroplane. It was a big, colourful aeroplane made of metal. It was very expensive, but Daisy was very happy. She put on her seatbelt and flew",64,0.0078125,eager,native,float32,B_one_short,2,3.814697265625e-06,6.039731488272082e-07,False,False,True,,ok,
19,"Once upon a time there was a little girl called Daisy. She was very excited because it was her birthday. Her mummy and daddy had bought her an aeroplane. It was a big, colourful aeroplane made of metal. It was very expensive, but Daisy was very happy. She put on her seatbelt and flew",64,0.0078125,eager,native,float32,C_seven_short,8,7.62939453125e-06,9.757492307471693e-07,False,False,True,,ok,
19,"Once upon a time there was a little girl called Daisy. She was very excited because it was her birthday. Her mummy and daddy had bought her an aeroplane. It was a big, colourful aeroplane made of metal. It was very expensive, but Daisy was very happy. She put on her seatbelt and flew",64,0.0078125,eager,native,float32,D_one_long,2,7.62939453125e-06,9.757492307471693e-07,False,False,True,,ok,
19,"Once upon a time there was a little girl called Daisy. She was very excited because it was her birthday. Her mummy and daddy had bought her an aeroplane. It was a big, colourful aeroplane made of metal. It was very expensive, but Daisy was very happy. She put on her seatbelt and flew",64,0.0078125,eager,native,float32,E_mixed_lengths,4,8.58306884765625e-06,9.566597327648196e-07,False,False,True,,ok,
20,"Once there was a girl named Ellie who loved kicking. Whenever she went outside, she would kick everything in sight, from balls to trees. One day though, she saw something orange on the ground that she hadn't noticed before. She bent down to look closer and saw it was a little package of chocolate!",64,0.0078125,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
20,"Once there was a girl named Ellie who loved kicking. Whenever she went outside, she would kick everything in sight, from balls to trees. One day though, she saw something orange on the ground that she hadn't noticed before. She bent down to look closer and saw it was a little package of chocolate!",64,0.0078125,eager,native,float32,B_one_short,2,2.86102294921875e-06,4.1583419374546793e-07,False,False,True,,ok,
20,"Once there was a girl named Ellie who loved kicking. Whenever she went outside, she would kick everything in sight, from balls to trees. One day though, she saw something orange on the ground that she hadn't noticed before. She bent down to look closer and saw it was a little package of chocolate!",64,0.0078125,eager,native,float32,C_seven_short,8,6.67572021484375e-06,5.80090272706002e-07,False,False,True,,ok,
20,"Once there was a girl named Ellie who loved kicking. Whenever she went outside, she would kick everything in sight, from balls to trees. One day though, she saw something orange on the ground that she hadn't noticed before. She bent down to look closer and saw it was a little package of chocolate!",64,0.0078125,eager,native,float32,D_one_long,2,6.67572021484375e-06,5.80090272706002e-07,False,False,True,,ok,
20,"Once there was a girl named Ellie who loved kicking. Whenever she went outside, she would kick everything in sight, from balls to trees. One day though, she saw something orange on the ground that she hadn't noticed before. She bent down to look closer and saw it was a little package of chocolate!",64,0.0078125,eager,native,float32,E_mixed_lengths,4,9.5367431640625e-06,6.389229838532628e-07,False,False,True,,ok,
21,"Once upon a time there was a brave little girl. She was a bit scared, but she really wanted to solve a problem. She had to get to",32,0.0078125,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
21,"Once upon a time there was a brave little girl. She was a bit scared, but she really wanted to solve a problem. She had to get to",32,0.0078125,eager,native,float32,B_one_short,2,3.814697265625e-06,6.241992878130986e-07,False,False,True,,ok,
21,"Once upon a time there was a brave little girl. She was a bit scared, but she really wanted to solve a problem. She had to get to",32,0.0078125,eager,native,float32,C_seven_short,8,2.86102294921875e-06,5.165091465642035e-07,False,False,True,,ok,
21,"Once upon a time there was a brave little girl. She was a bit scared, but she really wanted to solve a problem. She had to get to",32,0.0078125,eager,native,float32,D_one_long,2,5.4836273193359375e-06,8.771242505645205e-07,False,False,True,,ok,
21,"Once upon a time there was a brave little girl. She was a bit scared, but she really wanted to solve a problem. She had to get to",32,0.0078125,eager,native,float32,E_mixed_lengths,4,7.62939453125e-06,9.353323093819199e-07,False,False,True,,ok,
22,"Once there was a zebra who was very helpful. Every day, the zebra would help her friends by doing things like carrying heavy loads, or running errands. One day, the zebra wanted to do something even more special. She thought and thought, but she couldn't figure out what it was. Suddenly, she knew! She would kneel down and help her friends plant a garden. The zebra was so excited that she ran to get all the materials they would need. Once they were ready, the zebra kneeled on the ground to help plant the seeds. She moved her hooves around in the dirt and soon the",128,0.0078125,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
22,"Once there was a zebra who was very helpful. Every day, the zebra would help her friends by doing things like carrying heavy loads, or running errands. One day, the zebra wanted to do something even more special. She thought and thought, but she couldn't figure out what it was. Suddenly, she knew! She would kneel down and help her friends plant a garden. The zebra was so excited that she ran to get all the materials they would need. Once they were ready, the zebra kneeled on the ground to help plant the seeds. She moved her hooves around in the dirt and soon the",128,0.0078125,eager,native,float32,B_one_short,2,4.76837158203125e-06,6.33738920896576e-07,False,False,True,,ok,
22,"Once there was a zebra who was very helpful. Every day, the zebra would help her friends by doing things like carrying heavy loads, or running errands. One day, the zebra wanted to do something even more special. She thought and thought, but she couldn't figure out what it was. Suddenly, she knew! She would kneel down and help her friends plant a garden. The zebra was so excited that she ran to get all the materials they would need. Once they were ready, the zebra kneeled on the ground to help plant the seeds. She moved her hooves around in the dirt and soon the",128,0.0078125,eager,native,float32,C_seven_short,8,7.62939453125e-06,7.346473012148635e-07,False,False,True,,ok,
